ee_pos_error_x,ee_pos_error_y,ee_pos_error_z,ee_pos_error_norm,ee_ori_error_rad,ee_ori_error_deg,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel
-1.3273203,0.10200444,-0.08803178,1.6848824,2.6976323,154.56293,0.00016727555,2.4460121e-05,-7.429541e-05,2.4732263,0.79103965,-1.4191473,-0.0026607485,-0.014321918,-0.22148703,1.2387609e-05,-0.0040169554,0.00033822836,-0.084525436,-0.1478774,0.1856629,-0.00606139,0.12211734,-0.05424276
-1.4720134,0.034690328,-0.090717316,1.7944095,2.6880035,154.01125,-5.51375e-06,3.7418868e-05,1.94174e-05,2.495104,0.77807295,-1.4001539,-0.082240835,-0.010613985,-0.22660157,-0.0003452087,0.0017073571,0.0008169067,-0.14791602,-0.007472487,0.15266395,-0.8074502,0.004435152,-0.20151798
-1.6022967,-0.036825944,-0.08261439,1.9031816,2.6764987,153.35205,-0.00010404243,0.00029141025,-5.8549704e-06,2.5127227,0.8087953,-1.4060588,-0.038374476,-0.035181284,-0.20239097,-0.0010903535,0.0045366646,0.0012677112,0.018372191,0.37099043,-0.116549924,1.0700338,0.14087632,0.09638966
-1.6977268,-0.20415425,-0.06998018,2.000656,2.609578,149.51779,-0.00010776989,-4.7933172e-05,-4.5013927e-05,2.4760427,0.7976907,-1.383776,0.05744572,-0.009443511,-0.23505902,4.6886315e-05,0.0058816266,0.0018099801,-0.20190446,0.1554711,0.15253693,0.06117046,0.56033516,0.01579037
-1.8114333,-0.3243814,-0.07120921,2.1106975,2.5535855,146.30966,0.00013007745,6.703211e-05,-3.3723525e-05,2.446172,0.8139452,-1.3577064,0.03706513,-0.010835787,-0.21857241,0.00043888902,-0.0021805696,-0.0012116015,0.04804966,-0.06429508,-0.19729728,0.52093625,-0.25194037,0.17395484
-1.9653456,-0.46284443,-0.049629327,2.2658849,2.5233004,144.57446,-3.314251e-05,0.00012287278,-3.443747e-05,2.4727874,0.8425843,-1.3555266,0.08377241,-0.033416953,-0.2384169,-0.00025583495,-0.00017837482,0.0012609481,-0.058724277,0.081175394,0.20671655,-0.17033425,0.2350958,0.163904
-4.008155,-0.58637977,-0.010648903,4.2146463,2.5659695,147.01921,-0.0003253741,0.00044948864,6.644177e-05,2.504631,0.96306205,-1.2651839,0.1396876,0.027241286,-0.18843041,0.0025264672,-0.0014997026,0.0005919257,0.10274658,0.6474438,0.6973226,0.42797488,0.67892885,-0.015281288
-4.268527,-1.1110451,0.06670736,4.547669,2.26016,129.49762,-1.5836633e-05,0.000280051,8.928325e-05,2.5531137,1.2693083,-1.2988219,0.30108073,0.0016167993,-0.17322397,0.00021361446,0.0010668519,-0.00027121027,0.04163456,0.72816664,0.09707476,-0.120893605,-0.33032364,-0.14024682
-4.4958525,-1.5168073,0.12843217,4.8363147,1.9950547,114.308205,2.7280132e-05,0.00014706036,1.2481092e-05,2.552728,1.5452898,-1.313374,0.19644117,-0.054867867,-0.1527564,0.0005769516,-0.00017873508,-0.00067121827,0.13209909,0.46176866,0.14978802,-0.50553733,-0.4864096,0.26201093
-4.8595767,-1.9238987,0.1446591,5.288645,2.0259957,116.08099,0.00015977267,6.217003e-05,-6.37222e-06,2.5478954,1.6492364,-1.3221042,0.18151417,0.0061717415,-0.19422702,8.446483e-05,8.204777e-06,-0.00092536944,-0.04327352,-0.03772811,0.038633063,-0.014247939,0.26111287,-0.14611912
-5.361889,-2.2573214,0.12960073,5.8604727,2.1064034,120.68802,0.00016988945,0.00013273343,3.1556105e-05,2.5625997,1.6204221,-1.2797801,0.18207955,0.004700697,-0.18129861,0.0005955133,-0.0006858193,0.00031585107,-0.014257582,-0.12403107,-0.12813473,-0.5690676,0.17935097,0.10632981
-5.8164496,-2.552595,0.11674033,6.3901515,2.1161509,121.246506,8.767738e-05,0.0002068055,5.4592543e-05,2.5762434,1.5862625,-1.2241327,0.13645443,-0.09035949,-0.15553997,-1.2530865e-05,-0.0011427037,-0.0005761468,-0.010127919,-0.116333604,0.17354843,-0.08285028,-0.26820612,0.12849985
-6.2593827,-2.8851898,0.11811602,6.938299,1.9836076,113.65234,0.00018093523,0.00017400425,1.7149949e-05,2.5801482,1.57892,-1.1559469,0.19200963,-0.19166988,-0.12984136,-0.00023474894,-0.0041407994,-0.0014793309,-0.002327539,-0.11197968,-0.1402487,0.2860794,-0.44804335,0.17432645
-6.786849,-3.2186885,0.10422675,7.569188,2.0396647,116.86417,9.6639254e-05,9.0089e-06,-4.1331514e-05,2.5806785,1.4700955,-1.1257758,0.23036467,-0.21364513,-0.1387147,-0.00088270486,0.0018322039,0.0009641092,-0.062827185,-0.23877257,-0.109670095,-0.10841961,-0.12797928,-0.098801665
-7.2291193,-3.5562415,0.09013731,8.111675,1.9604288,112.324295,2.3294664e-05,0.00017064769,-4.4967455e-05,2.5866082,1.3534789,-1.0422938,0.24421628,-0.3030154,-0.12357655,-0.00015603096,-0.0016124516,-0.00065145583,-0.01756021,-0.13376749,0.3437668,-0.6043606,-0.049270704,-0.09332195
-7.683177,-3.965102,0.061400153,8.705087,2.001133,114.65648,2.546105e-06,0.00018312981,-2.671381e-05,2.5864682,1.1933343,-0.99468225,0.3107357,-0.31360725,-0.13090271,-1.0241143e-05,-0.0013005383,-0.00039646783,0.0033050105,-0.14327922,0.030931614,-0.025826968,-0.16244847,0.08279094
-8.140444,-4.3966565,0.05046593,9.307432,1.963361,112.492294,-9.290401e-06,0.00012799767,-5.9212918e-05,2.589647,1.1460773,-0.9609471,0.2942428,-0.33752382,-0.13659267,-3.7943188e-05,8.16604e-05,7.618463e-05,0.023849823,-0.10871389,0.11409962,-0.04457648,0.038863532,-0.019656105
-8.601443,-4.8235655,0.039079383,9.905586,1.9527175,111.88247,9.2085094e-05,6.596619e-05,-7.846332e-05,2.5906346,1.0632215,-0.9276842,0.35016564,-0.42380255,-0.11378728,-0.0006794734,-0.0021760343,-0.00053232216,0.012623678,-0.37729442,0.35829794,0.47989613,-0.025455862,-0.11467645
-9.034223,-5.1976986,0.02957503,10.454621,2.0459948,117.22686,2.0176682e-05,9.446052e-06,-7.303326e-05,2.5897539,0.96887124,-0.8970444,0.42870444,-0.4673093,-0.099401735,0.0003234456,0.0006228122,0.0003850822,0.023731861,-0.24693166,0.30776334,0.52312934,0.34731552,-0.1381314
-9.305416,-5.572656,0.0159267,10.873701,2.117765,121.338974,3.764532e-05,0.00016412238,1.4016026e-05,2.5908103,0.9264524,-0.81371975,0.35007876,-0.60711575,-0.07078434,-4.315136e-05,-0.0012073255,-0.0003626866,0.009565666,-0.017404716,0.31796288,-0.10473382,-0.3495584,0.1590336
-9.443634,-5.981061,0.02322685,11.215284,2.0105624,115.19673,-7.2459734e-06,0.0001613817,-2.4292274e-05,2.5916758,0.9899019,-0.76881254,0.384161,-0.6365457,-0.1018544,-0.00025529345,0.00015933788,-0.00036549225,0.0010120445,0.15030968,0.351561,0.4253496,0.18076357,-0.097132094
